Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
Lateral anillo periférico 800,23000,2,2,82,San Juan de Ocotan,Zapopan,Department
,78000,3,4,258,Puerta de Hierro,Zapopan,Department
,14200,2,2,70,Fraccionamiento Real de Valdepeñas,Zapopan,Department
,29000,2,2,92,Puerta de Hierro,Zapopan,Department
,45000,3,3,300,Fraccionamiento Monraz,Guadalajara,Department
,25000,3,3,230,Providencia 4a Secc,Guadalajara,Department
,22000,2,2,85,Valle Real,Zapopan,Department
Quintana roo 406,24000,2,2,120,Ladrón de Guevara,Guadalajara,Department
Punto Sur,2950,1,2,20,El Mante,Zapopan,Department
Ignacio L Vallarta 5145,20000,2,3,92,Punto Sur,Tlajomulco de Zúñiga,Department
Av. Rafael Sanzio 632,28500,2,2,120,Fraccionamiento Camino Real,Zapopan,Department
Av. Hidalgo 157,24900,2,2,103,Arcos de Guadalupe,Zapopan,Department
Avenida paseo la toscana 122,22000,2,5,89,Americana,Guadalajara,Department
Av Sendas 1501 111,90000,4,3,334,Valle Real,Zapopan,Department
Avenida Americas 872,25000,2,2,119,Chapalita,Guadalajara,Department
MANUEL M DIEGUEZ,17800,2,2,95,Sendas Residencial,Zapopan,Department
Av. Naciones Unidas 7879,22500,2,2,84,Ayuntamiento,Guadalajara,Department
Av. Acueducto #135,19000,2,2,75,Ayuntamiento,Guadalajara,Department
Calz. Federalismo Nte,19000,2,4,66,Virreyes Residencial,Zapopan,Department
Josefa Ortiz de Dominguez 180,55000,3,3,309,Puerta de Hierro,Zapopan,Department
anillo Periferico pte 1066,45000,3,2,157,Jardines Universidad,Zapopan,Department
C. Ottawa 1560,17214,2,1,100,Americana,Guadalajara,Department
Tenochtitlan 34 5,9000,2,2,55,Santa Ana Tepetitlán,Zapopan,Department
,10800,2,2,57,Colonia Huentitán El Alto,Guadalajara,Department
,27900,2,3,93,Puerta de Hierro,Zapopan,Department
,42000,3,,113,Providencia,Guadalajara,Department
,25000,,,120,Ciudad Del Sol,Zapopan,Department
Av. Ecónomos  6843 2,26500,3,2,166,Arcos de Guadalupe,Zapopan,Department
Jose Maria Vigil 2534,30000,2,2,126,Fraccionamiento Colomos Providencia,Guadalajara,Department
Américas,55000,3,3,240,Fraccionamiento Country Club,Guadalajara,Department
Calle Salvador López Chávez 1750-interior 4,9500,2,1,63,San Carlos,Guadalajara,Department
Avenida Periférico Poniente Manuel Gómez Morin 800,33000,3,3,120,Fraccionamiento Puerta del Valle,Zapopan,Department
NACIONES UNIDAS,19500,2,2,60,Jardines Universidad,Zapopan,Department
Depa en Renta Providencia en Jose Maria Vigil,26500,2,2,148,Fraccionamiento Lomas de Providencia,Guadalajara,Department
Torre Esenika 1 1,18600,2,2,69,Punto Sur,Tlajomulco de Zúñiga,Department
Mar Egeo,21000,2,2,94,Country Club,Guadalajara,Department
Paseo Valle Real 900,23360,2,1,87,Arcos Vallarta,Guadalajara,Department
Calle La cauda 720,42000,3,3,443,Valle Real,Zapopan,Department
manuel m. dieguez 900,29000,2,2,112,Jardines del Bosque Norte,Guadalajara,Department
"Av. Acueducto 6075, Puerta de Hierro",23000,2,2,108,Ayuntamiento,Guadalajara,Department
Atlitlalaquian 1804,38000,2,2,97,Puerta de Hierro,Zapopan,Department
Brasilia 2790 ,7000,2,2,90,Ciudad AztlAn,Tonalá,Department
Justo Sierra 2135,21000,1,2,72,Providencia,Guadalajara,Department
Av. Central Guillermo Gonzalez Camarena #500,25500,2,2,90,Americana,Guadalajara,Department
Diagonal san Jorge 93 Guadalajara ,25000,2,2,77,Valle Real,Zapopan,Department
Depa en Renta Avila Camacho 545 Cerca Plaza Patria,30000,1,1,130,Fraccionamiento Vallarta San Jorge,Guadalajara,Department
,13500,3,1,77,Conjunto habitacional Patria,Zapopan,Department
Calle Miguel de Cervantes Saavedra 382A,5310,1,1,12,Obrera,Guadalajara,Department
Av Naciones Unidas 7879 ,36000,2,2,110,Jardines Universidad,Zapopan,Department
san juan de letran 4353,19500,2,2,78,Parque Virreyes Residencial,Zapopan,Department
ACUEDUCTO 360,22000,1,2,85,Lomas Del Seminario,Zapopan,Department
Prolongación Gigantes,20500,1,1,62,Fraccionamiento Puerta del Valle,Zapopan,Department
Calzada Lázaro Cárdenas 3333,30000,2,1,115,Puerta de Hierro,Zapopan,Department
Paseo de los Virreyes 45,25000,2,2,74,Providencia 1a Secc,Guadalajara,Department
Calle de los Jardines 714,6000,1,1,48,Colinas de Tonalá,Tonalá,Department
diagonal san jorge 93,5100,1,2,85,Fraccionamiento Parques de Tesistán,Zapopan,Department
PABLO CASALS 1040,24500,2,2,97,Chapalita Oriente,Zapopan,Department
MORELOS 2080,56000,1,1,170,Puerta de Hierro,Zapopan,Department
Av General Ramon corona 2243,17000,2,2,80,Chapalita Sur,Zapopan,Department
Avenida morelos 2080,34000,3,3,140,Vallarta Sur,Guadalajara,Department
AVENIDA PATRIA 114,61700,1,1,293,Providencia,Guadalajara,Department
,18000,2,2,53,Arcos Vallarta,Guadalajara,Department
,21000,3,3,100,Valle Real,Zapopan,Department
,50000,1,1,437,Providencia,Guadalajara,Department
,18000,2,1,60,Ladrón de Guevara,Guadalajara,Department
,14000,1,1,85,Jardines de La Patria,Zapopan,Department
,8500,,,60,Las Amapas,Tlajomulco de Zúñiga,Department
Avenida morelos 2080,18000,1,1,60,Ladrón de Guevara,Guadalajara,Department
"Juan Palomar y Arias 765, Prados Providencia, Prados de Providencia, Guadalajara",19000,1,2,120,Country Club,Guadalajara,Department
C. Juan Ruiz de Alarcón 519,21000,2,2,67,Guadalajara Centro,Guadalajara,Department
Juan palomar y arias 546 INT 2,40000,3,3,169,Providencia,Guadalajara,Department
Av Vallarta 2468,20000,2,2,56,Moderna,Guadalajara,Department
Pablo Neruda 2640,12000,2,1,53,Francisco Sarabia,Zapopan,Department
Paseo Andares,13500,3,1,80,Jardines Universidad,Zapopan,Department
Avenida Montevideo 3550,28000,2,2,106,Americana,Guadalajara,Department
Lerdo de Tejada 2571,21000,2,4,95,Valle Real,Zapopan,Department
Calzada circuvalación poniente 781,35000,3,3,220,Providencia,Guadalajara,Department
Sao Paulo ,34000,3,2,165,Puerta de Hierro,Zapopan,Department
C. Anastasio Bustamante 1400,32000,3,1,200,Lomas del Valle,Zapopan,Department
Quintana roo 406,39500,2,1,137,Providencia,Guadalajara,Department
San Juan de Letrán 4353,16800,1,1,71,Arcos Vallarta,Guadalajara,Department
"AV, XOCHITL 310 6",17500,2,2,68,Ciudad Granja,Zapopan,Department
,28500,1,1,77,Providencia,Guadalajara,Department
,13000,2,,56,Francisco Sarabia,Zapopan,Department
,2950,1,,20,El Mante,Zapopan,Department
,21000,2,,85,Lomas Del Seminario,Zapopan,Department
,14500,2,,92,Prados Tepeyac,Zapopan,Department
José María Vigil,27820,1,1,118,Prados de Providencia,Guadalajara,Department
manuel m. dieguez 900,23000,2,2,108,Ayuntamiento,Guadalajara,Department
Calderon de la Barca 26,17000,1,1,65,Arcos Vallarta,Guadalajara,Department
Calzada Lázaro Cárdenas 3333,24500,1,2,97,Chapalita Oriente,Zapopan,Department
Calle Cto. Madrigal 1151,17000,2,2,64,Villas Del Country,Guadalajara,Department
"Av Paseo de la Arboleda 731 Jardines del Bosque,",40000,3,2,150,Providencia,Guadalajara,Department
Av. Patria 1891,23500,2,2,144,Jardines del Bosque Norte,Guadalajara,Department
Av. Aviacion,65000,3,4,172,Puerta de Hierro,Zapopan,Department
Av. Circunvalación Alvarez del Castillo 1018,23000,2,2,80,San Juan de Ocotan,Zapopan,Department
Av. Central Guillermo Gonzalez Camarena,26200,1,1,48,Ayuntamiento,Guadalajara,Department
Andres Teran 1165,31000,2,2,136,Valle Real,Zapopan,Department
mar mediterraneo 1254,7850,1,2,90,Arboledas ,Zapopan,Department
Francisco Martin del Campo 511,27000,2,3,110,Fraccionamiento Chapultepec Country,Guadalajara,Department
HYATT,35000,3,2,115,Country Club,Guadalajara,Department
Departamento en Renta Altamira (torre Zhenka),25000,2,2,163,San Juan de Ocotan,Zapopan,Department
,22000,3,2,110,Fraccionamiento Jardines Alcalde,Guadalajara,Department
,70000,2,2,180,Puerta de Hierro,Zapopan,Department
,23500,2,2,124,Altamira,Zapopan,Department
,29000,2,2,100,Providencia,Guadalajara,Department
,23000,3,,114,Prados de Providencia,Guadalajara,Department
Andres Teran 1165,20000,2,2,170,Las Cañadas,Zapopan,Department
Av Montevideo 3497,24400,2,2,92,Fraccionamiento Chapultepec Country,Guadalajara,Department
Av Vallarta 2468,42500,3,3,192,Colinas de San Javier,Zapopan,Department
"Juan Ruiz de Alarcón 229 102 , Americana , 44160 Guadalajara, Jalisco, México",35000,2,2,130,Americana,Guadalajara,Department
Av. Aviacion,19000,1,1,72,Americana,Guadalajara,Department
MANUEL M DIEGUEZ 900,12500,2,2,75,Colinas de los Belenes,Zapopan,Department
san agustin 1289 interior 4,17000,1,1,61,San Juan de Ocotan,Zapopan,Department
Av. José María Vigil,20000,2,2,90,Ladrón de Guevara,Guadalajara,Department
Calle Salvador López Chávez 1750,18000,2,1,85,Fraccionamiento Jardines de San Ignacio,Zapopan,Department
Av. Universidad  1000,12000,2,1,53,Francisco Sarabia,Zapopan,Department
Av Sendas 1501 111,34000,2,2,81,Providencia,Guadalajara,Department
"Av Paseo de la Arboleda 731 Jardines del Bosque,",15000,2,2,116,San Carlos,Guadalajara,Department
"C. G 1470 Zapopan, Jalisco ",65000,2,2,67,Condominio Puerta Plata,Zapopan,Department
Av. Aviacion,21000,2,2,95,Guadalajara Centro,Guadalajara,Department
av camino real a colima 481,17800,2,2,144,Sendas Residencial,Zapopan,Department
,23500,2,2,80,Jardines del Bosque Norte,Guadalajara,Department
,13800,2,2,80,Fraccionamiento Real de Valdepeñas,Zapopan,Department
,27000,1,2,48,Fraccionamiento Jardines del Country,Guadalajara,Department
,14000,2,1,89,San Juan de Ocotan,Zapopan,Department
,18600,,2,,Punto Sur,Tlajomulco de Zúñiga,Department
san juan bosco,15500,2,1,60,Lomas de Guadalupe,Zapopan,Department
Rafael Sanzio 634,26900,2,1,103,Arcos de Guadalupe,Zapopan,Department
san juan de letran 4353,22000,2,2,85,Lomas Del Seminario,Zapopan,Department
josefa ortiz de cominguez,8600,2,2,55,Santa Ana Tepetitlán,Zapopan,Department
Vía Láctea 4310,11000,1,1,74,Arboledas ,Zapopan,Department
"AV, GAIA 60 ",7900,2,2,67,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,Department
Manuel M Dieguez 489,13000,2,1,71,Constitución,Zapopan,Department
Torre Nomad las Americas,18320,1,3,36,Fraccionamiento Country Club,Guadalajara,Department
Av. Hidalgo 1830,20000,2,2,140,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
Av Sendas 1501 111,17800,2,2,95,Sendas Residencial,Zapopan,Department
Inglaterra 5100,23900,2,2,100,Jardines de La Patria,Zapopan,Department
Paseo Lomas Altas 4777 903 Torre A,26500,2,1,90,Lomas Altas,Zapopan,Department
Jose Maria Morelos 2080,21500,2,2,73,Ladrón de Guevara,Guadalajara,Department
plan de san luis 2058,20000,2,2,69,Fraccionamiento Country Club,Guadalajara,Department
Nicolas Copérnico #943,25000,2,2,97,Atlas Chapalita,Zapopan,Department
Av. Central Guillermo Gonzalez Camarena  500,25000,2,2,100,Valle Real,Zapopan,Department
Naciones Unidas 7879,18000,2,3,66,Parque Virreyes Residencial,Zapopan,Department
"Av. de la Libertad 908, Col. Tepeyac Casino, Zapopan Jal. ",18500,3,1,100,Tepeyac Casino,Zapopan,Department
ANDRES TERAN,15000,3,3,182,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
Pedro Ogazón  620  U.P. 13,29000,,,,Santa Fe,Zapopan,Department
Avenida paseo la toscana 122,90000,4,5,334,Valle Real,Zapopan,Department
paseo valle real 4000,35000,2,2,158,Valle Real,Zapopan,Department
NIÑOS HEROES 2050 ESQUINA CON MARSELLA,19500,2,2,85,Americana,Guadalajara,Department
"Valparaíso 2367-interior P02B, Providencia",23000,1,1,57,Providencia,Guadalajara,Department
AV. GUADALAJARA S/N,12700,2,2,64,Jardines del Valle,Zapopan,Department
Av. Vallarta  2769,18000,2,2,122,Fraccionamiento Camino Real,Zapopan,Department
Calzada Lázaro Cárdenas 3333,21000,1,1,67,Arcos Vallarta,Guadalajara,Department
Av. Paseo de la luna 885,21500,2,2,90,Jardines del Bosque,Guadalajara,Department
Av. Las Américas ,24500,1,2,97,Chapalita Oriente,Zapopan,Department
Anillo Perif. Nte. Manuel Gómez Morín 1066,29000,3,3,285,San Juan de Ocotan,Zapopan,Department
São Paulo 1912,45000,3,3,250,Monraz,Guadalajara,Department
anillo Periferico pte 1066,17200,1,1,40,Ayuntamiento,Guadalajara,Department
Valerio Trujano 240,23500,2,2,107,Fraccionamiento Puerta del Valle,Zapopan,Department
Paseo de La luna,26000,1,2,80,Providencia,Guadalajara,Department
acueducto 360,27900,2,2,93,Puerta de Hierro,Zapopan,Department
,16000,2,2,73,El Campanario,Zapopan,Department
,29000,2,1,115,Providencia,Guadalajara,Department
,6500,2,2,59,Mirador ,Tonalá,Department
,42000,2,1,210,Lomas Altas,Zapopan,Department
,30000,1,,113,Puerta de Hierro,Zapopan,Department
Nápoles 2837 ,26000,3,3,170,Providencia,Guadalajara,Department
otawa 1560,28000,1,1,77,Providencia,Guadalajara,Department
Av. Aviacion,24000,2,2,82,San Juan de Ocotan,Zapopan,Department
Calle Miguel de Cervantes Saavedra 382A,26000,2,2,114,Fraccionamiento Jardines del Country,Guadalajara,Department
"Legacy Tower, Av Empresarios 62",5310,1,1,12,Obrera,Guadalajara,Department
AV PATRIA 1891,45000,2,2,114,Puerta de Hierro,Zapopan,Department
Av. Aviacion,45000,2,2,133,Puerta de Hierro,Zapopan,Department
av camino real a colima 481,17000,1,1,61,San Juan de Ocotan,Zapopan,Department
Paseo de la luna 630,18600,2,2,89,Punto Sur,Tlajomulco de Zúñiga,Department
"Av. Acueducto 6075, Puerta de Hierro",18500,1,2,75,Fraccionamiento Solares,Zapopan,Department
Av. Chapultepec 460 9 ,38000,2,2,97,Puerta de Hierro,Zapopan,Department
Avenida Montevideo,27000,2,2,110,Americana,Guadalajara,Department
Eutimio pinzon 677,27000,2,2,120,Providencia,Guadalajara,Department
Lerdo de Tejada 2571,13000,3,2,85,Lomas Independencia,Guadalajara,Department
Av. Acueducto #135,29000,2,2,100,Providencia,Guadalajara,Department
Avenida Central Guillermo Gonzalez Camarena,16800,1,1,71,Arcos Vallarta,Guadalajara,Department
Calle Luis Pérez Verdía 38,55000,3,4,309,Puerta de Hierro,Zapopan,Department
Juan palomar y arias 546 INT 2,24000,2,2,90,Valle Real,Zapopan,Department
,32430,2,2,85,Ladrón de Guevara,Guadalajara,Department
,13500,3,1,80,Jardines Universidad,Zapopan,Department
"Av. D 718, La Cantera Habitat, 45134 Zapopan, Jal.",23360,2,1,87,Arcos Vallarta,Guadalajara,Department
Vereda de la Alondra 8,19999,2,1,100,Providencia,Guadalajara,Department
AV INGLATERRA 5100,18000,1,1,90,Providencia,Guadalajara,Department
ACUEDUCTO 360,13800,2,2,1,Fraccionamiento Valle Imperial,Zapopan,Department
efrain gonzalez luna 2579,129000,3,4,435,Puerta de Hierro,Zapopan,Department
Hector Berliotz 5026,21100,2,2,116,Jardines de La Patria,Zapopan,Department
Rafael Delgado 662,30000,1,1,115,Puerta de Hierro,Zapopan,Department
Avenida Acueducto 6075,16000,1,1,200,Barranquitas,Guadalajara,Department
George Santayana,33000,3,1,230,Agustín YAnez,Guadalajara,Department
Av. Santa Margarita 3600,7000,1,2,35,La Estancia,Zapopan,Department
Santa Irene 3040,11000,2,2,65,Sutaj,Guadalajara,Department
Av Niños Héroes 2050,39500,3,2,135,Jardines Universidad,Zapopan,Department
ANILLO PERIFERICO NORTE MANUEL GOMEZ MORIN 1066,28000,2,1,100,Puerta de Hierro,Zapopan,Department
Niños Héroes #2050,16500,1,2,70,Jardines Universidad,Zapopan,Department
Avenida López Mateos  5541,24000,1,2,76,Valle Real,Zapopan,Department
,20000,2,2,150,Jardines de los Arcos,Guadalajara,Department
,28000,2,2,133,Americana,Guadalajara,Department
,26000,2,1,120,Fraccionamiento Puerta del Valle,Zapopan,Department
,21500,2,,85,Americana,Guadalajara,Department
,12250,1,,59,Las Aguilas,Zapopan,Department
Avenida de las Américas,16000,1,2,36,Country Club,Guadalajara,Department
José María Heredia,29000,2,2,140,Providencia,Guadalajara,Department
Royal Country 473,31000,2,2,132,Puerta de Hierro,Zapopan,Department
Av. Miguel Hidalgo y Costilla 1571,26000,2,2,93,Ladrón de Guevara,Guadalajara,Department
Avenida López Mateos  5541,16500,2,3,93,Las Aguilas,Zapopan,Department
Niños Héroes #2050,19000,2,2,83,Americana,Guadalajara,Department
Calle José María Vigil ,26000,1,1,98,Providencia,Guadalajara,Department
Calle Heorico Colegio Militar 872,20000,1,2,50,Ayuntamiento,Guadalajara,Department
Valparaíso ,32000,2,2,98,Providencia,Guadalajara,Department
Niños Heroes 2571,27800,3,3,127,Jardines del Bosque,Guadalajara,Department
Av. de las Américas,65000,3,2,230,Country Club,Guadalajara,Department
São Paulo,30000,2,2,100,Fraccionamiento Colomos Providencia,Guadalajara,Department
AV JESUS 3870,18500,2,3,119,Jardines del Valle,Zapopan,Department
Avenida Americas 1972 Country Club Guadalajara Jalisco,65000,3,2,240,Country Club,Guadalajara,Department
Hacienda Santa Lucia ,25000,2,2,181,Providencia,Guadalajara,Department
Blvrd Puerta de Hierro 5225,40000,2,2,170,Puerta de Hierro,Zapopan,Department
AV. REAL ACUEDUCTO 360,35000,2,1,300,Puerta de Hierro,Zapopan,Department
Gabriel Castaños 2759,25000,1,2,63,Arcos Vallarta,Guadalajara,Department
Valparaiso,24000,2,2,75,Providencia,Guadalajara,Department
José María Heredia,27000,2,,90,Providencia,Guadalajara,Department
Ottawa,28500,1,1,77,Providencia,Guadalajara,Department
Antiguo Camino a Tesistan 26,5000,2,1,48,San Bernardo,Zapopan,Department
Av. Cvln. Jorge Álvarez del Castillo,18527,1,1,46,Providencia,Guadalajara,Department
SECUNDINA GALLO 707,9500,2,2,80,Electricistas,Guadalajara,Department
Av Niños Héroes 2050,18000,1,1,70,Americana,Guadalajara,Department
P.º de los Virreyes 45,56000,3,4,184,Puerta de Hierro,Zapopan,Department
Jorge Álvarez del Castillo,19222,1,1,47,Providencia,Guadalajara,Department
Central 535,75000,3,3,300,Virreyes Residencial,Zapopan,Department
Av. México 2582,38000,2,2,120,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
San Demetrio 1307,35000,1,2,218,Chapalita,Guadalajara,Department
Niños Heroes 2571,27800,3,3,126,Jardines del Bosque Norte,Guadalajara,Department
Paseo Valle Real 1595,55000,3,2,215,Valle Real,Zapopan,Department
Av. Naciones Unidas,28000,3,2,100,Virreyes Residencial,Zapopan,Department
Av. Cima Real ,39000,2,2,130,Valle Real,Zapopan,Department
Av Naciones Unidas 7879,18000,2,1,66,Virreyes Residencial,Zapopan,Department
Artemio del Valle Arizpe 4902,45000,1,3,210,Jardines Universidad,Zapopan,Department
Paseo Valle Real,42000,3,2,161,Valle Real,Zapopan,Department
Av. Miguel Hidalgo,22500,2,1,86,Americana,Guadalajara,Department
Juan Ruiz de Alarcón,24000,1,2,74,Arcos Vallarta,Guadalajara,Department
calzada de los laureles,22000,2,,100,Ciudad Granja,Zapopan,Department
Mariano Otero 5664,10500,1,1,80,Paseos del Sol,Zapopan,Department
Niños Héroes 2050,18900,2,2,84,Americana,Guadalajara,Department
Av Niños Héroes 2050,22000,2,2,95,Americana,Guadalajara,Department
Calzada de Los Laureles,22500,2,2,100,Ciudad Granja,Zapopan,Department
Juan Ruiz de Alarcon,12500,1,1,43,Lafayette,Guadalajara,Department
Departamento EN Renta Parque Metropolitano 7 Zapopan Jalisco,21500,3,2,157,Zapopan,Jalisco,Department
 Paseo Valle Real 1222,28000,3,2,240,Valle Real,Zapopan,Department
Calle Vidrio 1352,12000,1,1,60,Americana,Guadalajara,Department
 Circunvalación Jorge Álvarez del Castillo,15939,1,3,37,Providencia,Guadalajara,Department
Niños Heroes #2571,28000,2,2,126,Jardines del Bosque,Guadalajara,Department
Josefa Ortiz de Dominguez 2512,9500,2,2,58,Santa Ana Tepetitlán,Zapopan,Department
av naciones unidas 7879,18500,2,2,66,San Juan de Ocotan,Zapopan,Department
Alada,36000,2,1,148,Valle Real,Zapopan,Department
calle agustin itubide 61,4500,1,2,60,San Agustín,Tlajomulco de Zúñiga,Department
Av. Providencia,18000,2,2,80,Providencia,Guadalajara,Department
Av. Periférico Norte 800,22000,2,2,85,Santa Margarita ,Zapopan,Department
Av Providencia 2570,30000,2,3,140,Providencia,Guadalajara,Department
Av. Empresarios,85000,3,2,328,Puerta de Hierro,Zapopan,Department
Av. Acueducto 6075,35000,2,3,96,Puerta de Hierro,Zapopan,Department
Calzada Alamos,25000,2,,220,Ciudad Granja,Zapopan,Department
Av. Empresarios 236,90000,3,4,302,Puerta de Hierro,Zapopan,Department
Avenida de las Américas,22500,1,1,47,Country Club,Guadalajara,Department
Lopez Mateos,26500,3,2,100,Loma Bonita,Zapopan,Department
paseo de los virreyes 45,17000,1,1,60,Providencia,Guadalajara,Department
blvd. del rodeo 1001,50000,2,2,170,Puerta de Hierro,Zapopan,Department
Av. Central  500 306,25000,1,2,90,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
Manuel cambre 2235,24000,2,2,117,Fraccionamiento Ladrón de Guevara,Guadalajara,Department
Justo sierra 2135-84,17000,1,2,97,Arcos Vallarta,Guadalajara,Department
Alarcón 229,35000,2,2,115,Fraccionamiento Vallarta San Jorge,Guadalajara,Department
Av Nicolás Copernico  4225 5,15500,2,1,79,El Vigía,Zapopan,Department
,20000,3,2,100,Jardines Universidad,Zapopan,Department
,6200,2,2,48,Reforma Centro,Guadalajara,Department
,24000,2,2,120,Altamira,Zapopan,Department
,36000,3,1,150,Fraccionamiento Puerta del Valle,Zapopan,Department
,25000,2,3,117,Fraccionamiento Chapultepec Country,Guadalajara,Department
,35000,1,2,70,Americana,Guadalajara,Department
,21000,3,2,70,Americana,Guadalajara,Department
,40000,3,,250,Arcos Vallarta,Guadalajara,Department
,32000,2,,175,Providencia,Guadalajara,Department
,19000,,,90,Arboledas ,Zapopan,Department
