Location,Price,No. of rooms,No. of bathrooms,Area,Neighborhood,Municipality,Type,Price per sq meter,Bathrooms per room,Price_Category
A Las Cimas 327A,22000,2.0,1.0,70.0,Valle Real,Zapopan,Department,314.2857142857143,0.5,20k-30k
,7299,1.0,1.0,70.0,Jardines del Bosque,Guadalajara,Department,104.27142857142857,1.0,0-10k
Serena                                                                                             2767 112,21500,2.0,2.0,70.0,Americana,Guadalajara,Department,307.14285714285717,1.0,20k-30k
Av. Cvln. Jorge Álvarez del Castillo,21500,2.0,2.0,70.0,Americana,Guadalajara,Department,307.14285714285717,1.0,20k-30k
,8500,3.0,2.0,70.0,Tlajomulco de Zúñiga,Other,House,121.42857142857143,0.6666666666666666,0-10k
Rinconada del arroyo,19800,2.0,2.0,70.0,Country Club,Guadalajara,Department,282.85714285714283,1.0,10k-20k
sendero de los abedules 125,11000,3.0,2.0,70.0,El Fortín,Zapopan,House,157.14285714285714,0.6666666666666666,10k-20k
Av. Aviacion,21600,2.0,2.0,70.0,San Juan de Ocotan,Zapopan,Department,308.57142857142856,1.0,20k-30k
,27000,1.0,1.0,70.0,Providencia,Guadalajara,Department,385.7142857142857,1.0,20k-30k
,19900,2.0,2.0,70.0,Country Club,Guadalajara,Department,284.2857142857143,1.0,10k-20k
chimalpopoca 4795,14000,2.0,1.0,70.0,Jardines Del Sol,Zapopan,Department,200.0,0.5,10k-20k
AV AVIACION ,8500,3.0,2.0,70.0,Tlajomulco de Zúñiga,Other,House,121.42857142857143,0.6666666666666666,0-10k
